BIOCHEMICAL	PATHWAY_SORTORDER	# times identifed in all 200 samples	SUPER_PATHWAY	SUB_PATHWAY	COMP_ID	PLATFORM	RI	MASS	CAS	PUBCHEM	KEGG	"Mean (patients with ""No biochemical genetic diagnosis"")"	"standard deviation (patients with ""No biochemical genetic diagnosis"")"	"minimum value (patients with ""No biochemical genetic diagnosis"")"	"maximum value (patients with ""No biochemical genetic diagnosis"")"	    Group HMDB
X - 12108		147			33523	LC/MS (+)	1468	160.10815				-0.829912067	1.241225322	-1.040341534	2.878074328	
arginine	301	200	Amino Acid	Urea cycle; Arginine and Proline Metabolism	1638	LC/MS (+)	650	175.11896	1119-34-2	232	C00062	-0.082399162	0.650764999	-3.622750112	1.476916075	HMDB00517
uridine	2201	200	Nucleotide	"Pyrimidine Metabolism, Uracil containing"	606	LC/MS (-)	1430	243.06226	58-96-8	6029	C00299	-0.002186203	0.339056041	-2.799120364	2.511920829	HMDB00296
uracil	2202	200	Nucleotide	"Pyrimidine Metabolism, Uracil containing"	605	LC/MS (+)	1149	113.03456	66-22-8	1174	C00106	0.041344967	0.509863213	-2.478702904	3.007359982	HMDB00300
"stearate, methyl ester"	1087	200	Lipid	"Fatty Acid, Methyl Ester"	6097	GC/MS	1946.4	73.9	112-61-8	8201		0.009512703	0.197149439	-2.813723742	2.528395034	
X - 13846		61			40102	LC/MS (+)	2012.3	303.07092				-1.532324771	1.190368151	-0.510508419	3.296990807	
isobutyrylcarnitine (C4)	262	200	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	33441	LC/MS (+)	1941	232.15434	25518-49-4	168379		0.139876322	0.997595936	-2.189231462	2.370767132	HMDB00736
2-hydroxypalmitate	1180	200	Lipid	"Fatty Acid, Monohydroxy"	35675	LC/MS (-)	5508	271.22786	764-67-0	92836		0.077624627	0.357924302	-4.008367267	2.418918318	HMDB31057
X - 16934		114			39517	LC/MS (-)	4488.8	631.23963				-0.492260463	0.974630096	-0.774039303	3.013394278	
3-ureidopropionate	2217	200	Nucleotide	"Pyrimidine Metabolism, Uracil containing"	3155	LC/MS (+)	1062	133.06077	462-88-4	111	C02642	0.074571286	0.744891113	-2.312952458	3.7554409	HMDB00026
X - 15808		200			38063	LC/MS (-)	3534	240.04284				-0.068306599	0.409839376	-2.099218981	3.198796184	
sorbate	2711	8	Xenobiotics	Food Component/Plant	41502	LC/MS (+)	3892.8	113.05971	110-44-1	643460	D02411	-0.662056232	0.307416425	-0.138763002	8.230236879	HMDB29581
X - 15245		191			37387	LC/MS (-)	581	233.03069				0.200099718	0.915239057	-1.843743709	2.9341099	
X - 17348		20			40155	LC/MS (-)	2524	247.08252				-2.902852261	1.006529622	-0.212446285	6.625011391	
X - 18929		198			42314	LC/MS (+)	3881.1	319.1285				0.118466119	0.984219798	-1.682430956	3.246429604	
X - 17444		37			40273	LC/MS (-)	4149.5	415.24912				-2.061420617	1.061865048	-0.456062782	3.228302398	
X - 12849		61			34532	LC/MS (-)	4726	331.17622				-2.536566871	1.511027872	-0.445070762	4.200263035	
homocitrulline	308	200	Amino Acid	Urea cycle; Arginine and Proline Metabolism	22138	LC/MS (+)	832	190.11862	1190-49-4	65072	C02427	-0.032261947	1.369636789	-2.562780626	3.294137928	HMDB00679
tartarate	2720	185	Xenobiotics	Food Component/Plant	15336	LC/MS (-)	604	149.00916	87-69-4;6106-24-7	444305	C00898	-0.366811554	1.021801426	-1.563561128	2.787694379	HMDB00956
glycolithocholate	1665	72	Lipid	Secondary Bile Acid Metabolism	31912	LC/MS (-)	5338	432.31193	474-74-8	115245	C15557	-1.84966957	1.556764582	-0.660224476	2.824710709	HMDB00698
X - 13848		65			35743	LC/MS (-)	1600	161.98628				-3.674442832	2.455381422	-0.534635447	2.869317609	
X - 11442		194			32759	LC/MS (-)	3902	331.12932				-0.105707742	1.383451699	-2.548691083	1.926516751	
X - 12609		24			34203	LC/MS (-)	2218	485.22431				-3.254385885	1.357911252	-0.309812254	5.216456957	
1-stearoyl-GPE (18:0)	1385	199	Lipid	Lysolipid	34416	LC/MS (-)	6200	480.30956	69747-55-3	9547068		0.232070546	1.232942895	-2.025178686	2.293718049	HMDB11130
aspartate	27	200	Amino Acid	Alanine and Aspartate Metabolism	443	LC/MS (-)	643	132.03023	56-84-8	5960	C00049	0.177066459	0.673734957	-2.555823047	5.08001687	HMDB00191
X - 11441		180			32758	LC/MS (-)	3773	331.12937				-0.388456241	1.678264659	-2.017114672	1.779346767	
7-beta-hydroxycholesterol	1506	153	Lipid	Sterol	35092	GC/MS	2340	456.4	566-27-8	473141		-0.359071625	0.636488297	-1.324912225	2.362355187	HMDB06119
X - 12726		129			34336	LC/MS (-)	1993	233.01259				-0.656060135	1.347898278	-0.900379857	3.319211848	
X - 17150		61			39814	LC/MS (-)	3166.4	315.12665				-1.002464943	1.328697999	-0.652514137	3.724109143	
5-oxoproline	360	200	Amino Acid	Glutathione Metabolism	1494	LC/MS (-)	744	128.03531	98-79-3	7405	C01879	-0.03933305	0.688408905	-1.676844147	4.779724552	HMDB00267
X - 11522		199			32839	LC/MS (-)	4754	313.12				-0.086665801	1.090301394	-2.412042502	2.333422938	
octaethylene glycol	3003	200	Xenobiotics	Chemical	42361	LC/MS (+)	3054	388.25411	5117-19-1	78798		0.311769878	1.173560762	-0.777449629	4.695226265	
2-methylbutyroylcarnitine (C5)	250	200	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	35431	LC/MS (+)	2439	246.16999	31023-25-3	6426901		0.078712527	0.712369985	-2.14061751	2.869893822	HMDB00378
X - 11632		33			32949	LC/MS (-)	3410	229.10825				-0.651842308	0.189388614	-0.228018603	5.857618295	
leucylserine	537	163	Peptide	Dipeptide	40048	LC/MS (+)	1519.7	219.13394	1574172	3621685		-0.425411728	1.934522608	-1.254575897	2.316294472	
DSGEGDFXAEGGGVR*	724	36	Peptide	Fibrinogen Cleavage Peptide	31548	LC/MS (+)	3379	733.33133				-1.316306437	1.067816695	-0.388388257	3.816396659	
heptaethylene glycol	3002	200	Xenobiotics	Chemical	38154	LC/MS (+)	2836	327.20135	5617-32-3	79718		0.23644389	0.979940904	-0.701752371	4.977245055	
S-adenosylhomocysteine (SAH)	276	188	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	15948	LC/MS (+)	1480	385.12887	979-92-0	439155	C00021	-0.062710802	0.782956339	-1.909172799	2.647110707	HMDB00939
leukotriene B4	1218	127	Lipid	Eicosanoid	37530	LC/MS (-)	5153	335.22278	71160-24-2	5280492	C02165	-0.623608847	1.600395626	-1.039693162	3.23153595	HMDB01085
1-palmitoleoyl-GPI* (16:1)*	1406	56	Lipid	Lysolipid	36618	LC/MS (-)	5442	569.27323				-0.940499886	0.775170793	-0.583885126	3.379572905	
malate	925	200	Energy	TCA Cycle	1303	GC/MS	1502	233	6915-15-7	525	C00149	0.087205563	0.795531517	-1.924096026	2.524955143	HMDB00156
7-HOCA	1512	200	Lipid	Sterol	36776	LC/MS (-)	5268	429.30103	115538-85-7	3081085	C17337	-0.187276002	0.478658838	-3.020785447	2.134275828	HMDB12458
X - 12407		118			33835	LC/MS (-)	1902	204.98079				-1.257849587	1.7683527	-0.874406219	2.196906941	
glutarate (pentanedioate)	78	147	Amino Acid	Lysine Metabolism	396	GC/MS	1433.6	261	110-94-1	743	C00489	-0.6770406	1.362963397	-1.353051328	1.8138015	HMDB00661
HWESASLLR	699	71	Peptide	Polypeptide	33964	LC/MS (+)	3050	549.78818				-1.049012236	1.314150973	-0.675972545	2.751438789	
alpha-ketoglutarate	920	199	Energy	TCA Cycle	33453	GC/MS	1779	419.1	305-72-6;328-50-7;22202-68-2	51	C00026	-0.016017031	0.796174654	-1.94384201	2.693603728	HMDB00208
X - 16089		199			38532	LC/MS (-)	4545.1	321.14699				-0.267040398	0.827636134	-2.380191187	1.969990382	
pyruvate	754	200	Carbohydrate	"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"	599	GC/MS	1130.6	217	127-17-3	1060	C00022	0.044519403	0.839446109	-2.150045866	3.258756967	HMDB00243
sorbitol	842	169	Carbohydrate	"Fructose, Mannose and Galactose Metabolism"	15053	GC/MS	1843	319.1	6706-59-8	5780	C00794	-0.260986473	1.048912147	-1.230533456	3.640908099	HMDB00247
1-eicosenoylglycerophosphoethanolamine (20:1n9)*	1403	195	Lipid	Lysolipid	44628	LC/MS (-)	6243.8	506.32521				-0.085941443	0.917826598	-2.112203703	2.410565965	
imidazole lactate	61	200	Amino Acid	Histidine Metabolism	15716	LC/MS (+)	778	157.06077	14403-45-3	440129	C05568	-0.280522614	0.822850211	-1.832765312	3.107472546	HMDB02320
glucuronate	886	147	Carbohydrate	Aminosugar Metabolism	15443	GC/MS	1888	217	207300-70-7	444791	C00191	-0.508911674	1.004210027	-1.355851817	3.031948243	HMDB00127
creatinine	329	200	Amino Acid	Creatine Metabolism	513	LC/MS (+)	730	114.06619	60-27-5	588	C00791	-0.090562323	0.580834524	-2.157124106	2.560566562	HMDB00562
X - 12833		85			34516	LC/MS (-)	3337	229.01765				-1.27603081	1.528708521	-0.666403137	3.229002026	
salicylate	2948	174	Xenobiotics	Drug	1515	LC/MS (-)	2226	137.02442	69-72-7	338	C00805	-0.384967757	2.07840809	-0.876603793	4.52413377	HMDB01895
1-palmitoyl-GPE (16:0)	1382	199	Lipid	Lysolipid	35631	LC/MS (-)	5940	452.27826		9547069		-0.075200927	0.794763211	-2.40918976	2.81365219	HMDB11503
X - 14625		199			36552	LC/MS (-)	742	308.099				-0.045294379	0.954297718	-1.920890397	2.639810812	
X - 18899		196			42284	LC/MS (-)	3700.5	337.14151				-0.296281942	1.128355973	-2.117651486	2.846576162	
X - 12906		98			34590	LC/MS (-)	810	158.04586				-0.758740213	0.746049816	-0.663082363	3.501446188	
heme	2320	183	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	41754	LC/MS (+)	5057	616.1762	14875-96-8	26945	C00032	-0.321916097	2.513610972	-1.539073978	2.320133485	HMDB03178
X - 11530		199			32847	LC/MS (-)	4866	313.11868				-0.090555819	1.100947262	-2.494662378	2.385191961	
X - 11315		200			32632	LC/MS (+)	1210	130.08647				-0.220075999	1.301512684	-3.73549511	1.226872248	
5-hydroxymethyl-2-furoic acid	173	66	Amino Acid	Phenylalanine and Tyrosine Metabolism	42040	GC/MS	1559.1	271.1	6338-41-6	80642	C20448	-1.011707392	1.245567846	-0.478328446	5.246762493	HMDB02432
glycerophosphorylcholine (GPC)	1331	200	Lipid	Phospholipid Metabolism	15990	LC/MS (+)	694	258.1101	28319-77-9	71920	C00670	-0.007054076	0.544823641	-2.519340005	2.497673857	HMDB00086
cyclo(leu-pro)	455	199	Peptide	Dipeptide	37104	LC/MS (+)	3445	211.14411	2873-36-1	7074739		-0.005749391	1.418582824	-1.919552975	3.245013093	
X - 10458		92			32955	LC/MS (-)	3666	231.12373				-0.508953906	0.345951356	-0.602211442	3.595265756	
X - 17856		149			40958	LC/MS (-)	2110.1	469.18231				-0.398505259	1.221759457	-1.721584675	2.749252029	
X - 16083		54			38526	LC/MS (-)	1503.6	309.11863				-1.528429994	1.657982401	-0.440199669	3.436536153	
X - 11308		200			32625	LC/MS (-)	5163	365.26915				-0.099465156	1.082612195	-3.521466325	2.009205275	
X - 15636		115			37885	LC/MS (-)	3814	243.03282				-1.624176926	2.1498675	-0.911126751	2.213745015	
X - 18609		156			41843	LC/MS (-)	4430.1	361.2013				-0.124894044	0.942079514	-1.239242055	2.263336698	
thymol sulfate	2723	181	Xenobiotics	Food Component/Plant	36095	LC/MS (-)	4395	229.054	89-83-8		C09908	-0.371005401	2.328402745	-1.444321654	2.430222429	HMDB01878
X - 11372		200			32689	LC/MS (-)	5303	467.37329				-0.230044842	1.052225329	-4.052517698	1.828943451	
X - 16654		92			39230	LC/MS (-)	4619.6	235.1176				-1.299243896	1.351555113	-0.607035567	3.360156561	
X - 19302		11			42778	LC/MS (-)	4344.9	234.98312				-1.33315047	1.175226006	-0.134396542	8.273379994	
X - 14095		100			36019	LC/MS (-)	1027	199.07196				-1.200719012	1.561301773	-0.797696362	3.159397787	
X - 18895		42			42280	LC/MS (-)	3472	231.05161				-3.735824559	2.751935292	-0.472817459	4.643916296	
citrate	915	200	Energy	TCA Cycle	1564	GC/MS	1763.4	273.1	77-92-9	311	C00158	0.085212926	0.553654088	-2.898289787	2.189889038	HMDB00094
pyroglutamine*	47	200	Amino Acid	Glutamate Metabolism	32672	LC/MS (+)	764	129.06586	2353-44-8	134508		0.205900725	1.204058532	-1.8870483	2.719070697	
tryptophylglycine	648	130	Peptide	Dipeptide	43028	LC/MS (+)	2351	262.11862	7360-09-0	263471		-1.059729981	1.713789751	-0.948188627	2.428097703	
X - 17469		109			40298	LC/MS (-)	4870.3	227.1203				-1.048567896	1.519863161	-0.730699771	3.045309847	
glycochenodeoxycholate	1652	200	Lipid	Primary Bile Acid Metabolism	32346	LC/MS (-)	5245	448.30684	16564-43-5	12544	C05466	-0.132728217	1.831219525	-2.729710298	1.946442191	HMDB00637
fumarate	924	200	Energy	TCA Cycle	1643	GC/MS	1382.1	245	100-17-8		C00122	0.060827823	0.528984406	-2.364097377	3.392942951	HMDB00134
X - 17146		122			39810	LC/MS (-)	4856.4	375.18079				-1.411832745	2.149122801	-0.858800494	2.419794904	
inositol 1-phosphate (I1P)	1309	200	Lipid	Inositol Metabolism	1481	GC/MS	2057.8	318.1	106032-59-1	440194	C04006	-0.291462979	0.600151494	-2.8508463	2.356236066	HMDB00213
X - 17350		44			40157	LC/MS (-)	2728.5	345.15604				-2.692749088	1.179618473	-0.372031244	4.225171012	
hexaethylene glycol	3001	200	Xenobiotics	Chemical	38133	LC/MS (+)	2651	283.17513	2615-15-8	17472		0.170403563	0.635014352	-0.767774845	4.834221089	
trigonelline (N'-methylnicotinate)	2269	103	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	32401	LC/MS (+)	757	138.05496	535-83-1	5570	C01004	-3.252651626	3.619106409	-0.939948839	1.726280392	HMDB00875
histidine	50	200	Amino Acid	Histidine Metabolism	59	LC/MS (-)	757	154.0622	5934-29-2	6274	C00135	0.029210078	0.39963515	-2.478964086	2.657854906	HMDB00177
lactate	755	200	Carbohydrate	"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"	527	GC/MS	1102.8	116.9	79-33-4	612	C00186	0.059611065	0.620294053	-1.870603209	4.068524049	HMDB00190
X - 12730		47			34340	LC/MS (-)	2095	203.99682				-1.636385298	1.173741674	-0.49182254	4.642146335	
glycerol	1436	200	Lipid	Glycerolipid Metabolism	15122	GC/MS	1311	205	56-81-5	753	C00116	0.027448121	0.575833647	-1.943063127	2.799511824	HMDB00131
biliverdin	2324	197	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	2137	LC/MS (+)	4936	583.25512	55482-27-4;55482-27-4	5353439	C00500	-0.271061559	1.333981987	-2.260300687	3.195984865	HMDB01008
allantoin	2126	193	Nucleotide	"Purine Metabolism, (Hypo)Xanthine/Inosine containing"	1107	GC/MS	1809.8	518.3	97-59-6	204	C02350	-0.133222385	1.108306307	-1.840463794	2.367974266	HMDB00462
X - 17653		199			40595	LC/MS (-)	5117	365.26852				-0.303685748	1.214054189	-2.672019171	1.594863994	
"1,3,7-trimethylurate"	2415	67	Xenobiotics	Xanthine Metabolism	34404	LC/MS (-)	1988	209.06801	5415-44-1	79437	C16361	-1.640036222	1.284602534	-0.545867739	3.787734844	HMDB02123
"1,3-dipalmitoylglycerol"	1467	154	Lipid	Diacylglycerol	35728	GC/MS	2637	371.3	26657-95-4	68149		-0.777592482	1.374928158	-1.603275566	1.463542264	HMDB31011
X - 15477		138			37725	LC/MS (+)	4421	365.23187				-0.573096876	1.255460427	-1.080819454	1.953441571	
X - 17269		146			39979	LC/MS (-)	4530.2	155.10783				-0.562798904	0.863648977	-1.244756994	2.09581062	
X - 11793		197			33138	LC/MS (+)	3634	601.26665				-0.09953569	1.174006178	-2.389633592	2.32167181	
X - 17690		104			40787	LC/MS (-)	2882.4	245.04848				-1.883160801	1.651900303	-0.665910478	2.849097303	
X - 16134		125			38581	LC/MS (+)	3151.9	603.79217				-0.771371869	1.772808441	-0.885932965	3.117503009	
X - 14384		52			36310	LC/MS (-)	2732	265.11963				-1.053371086	0.813946938	-0.483249186	3.465360936	
X - 16946		85			39529	LC/MS (-)	3262.3	317.1139				-1.19378901	1.288294729	-0.736828585	2.782736113	
X - 12782		84			34463	LC/MS (+)	3122	385.24377				-2.460803908	2.14178121	-0.781481232	2.052196669	
1-palmitoleoylglycerophosphoethanolamine*	1389	178	Lipid	Lysolipid	34565	LC/MS (-)	5661	450.26261				-0.286020991	1.12813586	-1.988377543	2.716841285	
1-palmitoyl-GPI* (16:0)*	1405	192	Lipid	Lysolipid	35305	LC/MS (-)	5573	571.28888				0.025915073	0.798250287	-3.097216588	2.409632545	
X - 15664		160			37913	LC/MS (-)	3695	469.17077				-0.430073458	1.325739113	-2.105523447	1.73684103	
X - 12123		119			33538	LC/MS (+)	1789	256.1179				-0.988642792	1.662590809	-0.865628164	3.195484711	
glycocholate	1649	192	Lipid	Primary Bile Acid Metabolism	18476	LC/MS (+)	5213	466.31632	475-31-0;863-57-0	10140	C01921	-0.272319335	2.263485764	-2.321246219	2.069739208	HMDB00138
glycocholenate sulfate*	1688	200	Lipid	Secondary Bile Acid Metabolism	32599	LC/MS (-)	4763	254.62291				0.049745208	1.243976711	-2.258287824	3.084006113	
saccharin	2698	76	Xenobiotics	Food Component/Plant	21151	LC/MS (-)	2013	181.99173	81-07-2	5143	D01085	-2.412085888	2.084368771	-0.631027329	3.398577992	HMDB29723
N1-Methyl-2-pyridone-5-carboxamide	2271	200	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	40469	LC/MS (+)	1707.3	153.06586	701-44-0	69698	C05842	-0.362481391	1.052721587	-2.477784981	3.063932706	HMDB04193
2-oleoyl-GPE* (18:1)*	1388	199	Lipid	Lysolipid	35687	LC/MS (-)	5848	478.29391				-0.221726096	1.096899298	-2.693559631	2.738843316	
andro steroid monosulfate 1*	1626	172	Lipid	Steroid	32827	LC/MS (-)	3925	383.1532			C04555	-0.632025631	2.866014681	-1.225821444	3.087014294	HMDB02759
X - 12329		56			33751	LC/MS (-)	1867	188.00189				-1.330310312	1.219234067	-0.537590517	3.391958885	
valylhistidine	679	64	Peptide	Dipeptide	40680	LC/MS (-)	1629.1	253.13061	13589-07-6			-1.898740013	1.443821714	-0.55630949	3.098939184	
X - 10457		176			33014	LC/MS (+)	1515	261.14374				-0.190293685	0.709605462	-1.990127877	1.926692479	
X - 11529		94			32846	LC/MS (-)	4845	624.33753				-1.482276261	1.564687434	-0.579456612	3.731183955	
threonylphenylalanine	639	194	Peptide	Dipeptide	31530	LC/MS (+)	2500	267.13394	16875-27-7	4099799;4099798		0.268692041	2.011127494	-1.871095921	2.689310814	
X - 16947		78			39530	LC/MS (-)	3808.5	345.15467				-2.241756991	1.911105466	-0.545558691	3.239160956	
glycoursodeoxycholate	1671	195	Lipid	Secondary Bile Acid Metabolism	39379	LC/MS (-)	5018.1	448.30684	64480-66-6	12310288		-0.391648922	2.277798147	-2.461168307	2.473137441	HMDB00708
X - 12847		147			34530	LC/MS (-)	4240	227.03789				-1.743219617	2.505367196	-1.033365126	2.561850158	
1-oleoyl-GPE (18:1)	1387	200	Lipid	Lysolipid	35628	LC/MS (-)	5928	478.29391	89576-29-4	9547071		-0.238275795	0.758701394	-2.295829022	2.852400091	HMDB11506
X - 16803		103			39396	LC/MS (+)	4785.5	466.31567				-1.072228815	1.406884294	-0.873941751	2.924394292	
X - 16569		67			39142	LC/MS (-)	3657.8	243.15984				-1.529373545	0.902299491	-0.488137014	3.300290106	
trimethylamine N-oxide	1338	146	Lipid	Phospholipid Metabolism	40406	LC/MS (+)	703.8	151.1441	1184-78-7	1145	C01104	-2.232954261	2.188796814	-1.018326091	3.312508343	HMDB00925
X - 17654		199			40596	LC/MS (-)	5204.6	365.26892				-0.006982929	1.026930196	-3.064319589	1.935675652	
1-eicosatrienoylglycerophosphoethanolamine*	1399	199	Lipid	Lysolipid	44630	LC/MS (-)	5777	502.2928				-0.214223767	0.959353134	-2.615726929	2.959412573	
X - 12686		200			34295	LC/MS (+)	1101	181.05321				-0.093092478	0.418958504	-2.828587239	3.199699324	
histidylalanine	493	98	Peptide	Dipeptide	42027	LC/MS (-)	989.4	225.09931	16874-75-2	351667		-1.566757089	1.773331334	-0.816206428	2.243823618	
glycolithocholate sulfate*	1666	165	Lipid	Secondary Bile Acid Metabolism	32620	LC/MS (-)	5015	512.26874	15324-64-8	72222	C11301	-0.998494015	2.309580675	-1.594500735	2.10788937	HMDB02639
2-palmitoyl-GPE* (16:0)*	1383	200	Lipid	Lysolipid	35688	LC/MS (-)	5790	452.27826				-0.100657793	0.72958506	-2.487521887	2.464782363	
X - 15609		11			37858	LC/MS (-)	3664	273.04489				-2.981605108	5.37E-15	0.993031274	0.993031274	
X - 17682		7			40779	LC/MS (-)	2427.8	485.165				-0.098238347	1.12E-16	0.993031274	0.993031274	
phenylacetate	101	79	Amino Acid	Phenylalanine and Tyrosine Metabolism	15958	LC/MS (-)	2127	135.04515	103-82-2	999	C07086	-2.35107619	1.148050072	-0.604470357	3.338045937	HMDB00209
arginylisoleucine	422	114	Peptide	Dipeptide	40070	LC/MS (+)	1554	288.20302	62632-70-6	433625		-0.352899973	1.315500071	-1.098159113	3.231481818	
glycodeoxycholate	1660	162	Lipid	Secondary Bile Acid Metabolism	18477	LC/MS (+)	5341	450.3214	360-65-6	3035026	C05464	-1.021235773	2.541408732	-1.424487875	1.765452482	HMDB00631
X - 18307		131			41484	LC/MS (+)	3525.1	578.33777				-0.521581317	1.847301119	-0.833395382	3.700339365	
andro steroid monosulfate 2*	1627	196	Lipid	Steroid	32792	LC/MS (-)	4240	383.1532			C04555	-0.353893054	3.123691326	-1.959479071	2.261462983	HMDB02759
phenylalanylglutamate	581	144	Peptide	Dipeptide	41432	LC/MS (+)	2005	295.12885	3617-45-6	4422358		-0.449166916	1.684431747	-1.22391576	2.814370769	
glycylphenylalanine	481	195	Peptide	Dipeptide	33954	LC/MS (+)	2377	223.10772	519077	92953		-0.387461365	2.383980747	-1.863772822	1.620269607	HMDB28848
2-linoleoyl-GPE* (18:2)*	1392	200	Lipid	Lysolipid	36593	LC/MS (-)	5650	476.27826				-0.168179971	0.998900308	-2.542843097	2.008250958	
X - 12095		200			33510	LC/MS (+)	1638	153.06607				-0.279297117	1.024924797	-2.481687274	3.483691958	
beta-tocopherol	2292	126	Cofactors and Vitamins	Tocopherol Metabolism	35702	GC/MS	2260	488.3	148-03-8	6857447	C14152	-1.449737441	1.946752677	-1.316630629	1.53128699	HMDB06335
X - 13507		179			35281	LC/MS (+)	1443	158.09239				-0.766310807	1.436285485	-1.545197908	3.411523493	
X - 16132		63			38579	LC/MS (+)	2305.3	472.68381				-0.999192808	1.650360817	-0.589363498	3.51186393	
phenylalanylphenylalanine	587	199	Peptide	Dipeptide	38150	LC/MS (+)	3317	313.15467	2577-40-4	6993090;6993089		0.386019013	1.697474281	-2.977833246	2.320838098	
3-methylcrotonylglycine	227	106	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	31940	LC/MS (+)	2580	158.08117	33008-07-0	169485		-1.119845651	1.305640217	-0.999507314	2.223238048	HMDB00459
X - 20006		185			43782	LC/MS (-)	4953.6	329.23303				-0.078128955	0.979884669	-1.69455924	3.35928484	
pipecolate	86	200	Amino Acid	Lysine Metabolism	1444	LC/MS (+)	1120	130.08626	4043-87-2	849	C00408	0.166482148	0.933666215	-1.680204107	2.579131931	HMDB00070
"1,5-anhydroglucitol (1,5-AG)"	735	200	Carbohydrate	"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"	20675	LC/MS (-)	808	163.06119	154-58-5	64960	C07326	-0.306442742	0.867924492	-3.135644707	1.708945794	HMDB02712
X - 15461		195			37709	LC/MS (+)	2125	160.0968				-0.094703899	1.07883928	-2.174288978	2.475826603	
X - 16572		146			39145	LC/MS (-)	4157.1	155.10753				-0.326225569	0.835199039	-1.582392312	1.618679061	
5-sulfosalicylate	2799	76	Xenobiotics	Drug	21107	LC/MS (-)	733	216.98123	97-05-2	7322	C16199	-2.928214854	2.806212631	-0.796581196	2.373946171	HMDB11725
X - 12221		99			33642	LC/MS (-)	1468	203.99684				-1.017788697	1.441091859	-0.723476815	3.620731071	
2-hydroxyibuprofen	2781	36	Xenobiotics	Drug	43330	LC/MS (+)	4470.7	240.15942	51146-55-5			-4.739770127	2.231002186	-0.427204944	3.378111274	
X - 17185		145			39855	LC/MS (-)	3069.1	215.00155				-0.870166141	1.890751241	-1.258940069	2.624701082	
taurocholate	1650	189	Lipid	Primary Bile Acid Metabolism	18497	LC/MS (-)	5122	514.28439	145-42-6	6675	C05122	-0.104506002	2.656241573	-2.058702575	2.310450535	HMDB00036
pyrophosphate (PPi)	935	197	Energy	Oxidative Phosphorylation	2078	GC/MS	1642.3	451	1466-09-3;2466-09-3	644102	C00013	-0.596554266	1.463443057	-3.291200201	1.832881797	HMDB00250
X - 14473		200			36399	LC/MS (+)	3363	211.14441				0.212475973	0.978415012	-2.076934629	3.574348511	
X - 17359		90			40167	LC/MS (-)	4607.5	541.265				-0.762763304	0.651546072	-0.621692369	3.905841824	
theobromine	2408	197	Xenobiotics	Xanthine Metabolism	18392	LC/MS (+)	2136	181.07201	83-67-0	5429	C07480	-1.423485107	3.853978434	-1.623183368	1.77760558	HMDB02825
