MolPheno1	MolPheno2	MolPheno3	MolPheno4	MolPheno5	MolPheno6	MolPheno7	MolPheno8	MolPheno9	MolPheno10	MolPheno11	MolPheno12	MolPheno13	MolPheno14	MolPheno15	MolPheno16	MolPheno17	MolPheno18	MolPheno19	MolPheno20	MolPheno21	MolPheno22	MolPheno23	MolPheno24	MolPheno25	MolPheno26	MolPheno27	MolPheno28	MolPheno29	MolPheno30	MolPheno31	MolPheno32	MolPheno33	MolPheno34	MolPheno35	MolPheno36	MolPheno37	MolPheno38	MolPheno39	MolPheno40	MolPheno41	MolPheno42	MolPheno43	MolPheno44	MolPheno45	MolPheno46	MolPheno47	MolPheno48	MolPheno49	MolPheno50	MolPheno51	MolPheno52	MolPheno53	MolPheno54	MolPheno55	MolPheno56	MolPheno57	MolPheno58	MolPheno59	MolPheno60	MolPheno61	MolPheno62	MolPheno63	MolPheno64	MolPheno65	MolPheno66	MolPheno67	MolPheno68	MolPheno69	MolPheno70	MolPheno71	MolPheno72	MolPheno73	MolPheno74	MolPheno75	MolPheno76	MolPheno77	MolPheno78	MolPheno79	MolPheno80	MolPheno81	MolPheno82	MolPheno83	MolPheno84	MolPheno85	MolPheno86	MolPheno87	MolPheno88	MolPheno89	MolPheno90	MolPheno91	MolPheno92	MolPheno93	MolPheno94	MolPheno95	MolPheno96	MolPheno97	MolPheno98	MolPheno99	MolPheno100
Patient11	805	66368	47	4937	353	116	250	1361.75	1281.58333333333	3062	210	5349.5	210	464.833333333333	623	812.583333333333	2076.83333333333	558.5	354.666666666667	4997	1005	5324.5	2506	3127	151	942.5	2944.5	296.833333333333	99	2069.5	525	594	318	50	2258	1450.5	334	64.5	142.5	1372.5	129.5	962.833333333333	27	27	851.5	3126	794	489252.5	10	35	464	1206	723	8	378	210	186	349	620	1464.66666666667	143	113	156	190.5	4	18	1	299.666666666667	26	27	90	497	49	67	29	226	121	226	221	14	101	6	2	18.25	188	580	116	1	51.5	26	51.5	63	8	93	7	4.5	1.5	158	7	592
Patient12	1099397	114911	536	44231.5	8908.66666666667	8721.5	4299	17012.5	16545.3333333333	19005	2951	5255.5	2059.5	6800.08333333333	511	13699.8333333333	159.5	426.5	5760.08333333333	999	5547	2075	9954.5	62301	393	357.5	3285	5135.25	573	829.5	230	5567	2188	429	557	158.5	3487	99	6126.5	288	6114.5	103.5	680	34.3333333333333	40	426	18	2614.5	237	37075.3386335886	3055	5727	132	56	159	1398	69	610	975.5	72.5	5567	61	65	23.5	9	53	48	27	409	145	604	79	93	705	52	141	24	143	1583	55	88	804	133	44.75	1010	10	208	0	227.833333333333	767	234.833333333333	536	90	173	14	22.5	17.5	93	33	645
Patient13	290	31529	14	2756.5	170	113	15	3397.66666666667	3256.66666666667	958	13	502.5	28	499.416666666667	54.5	2513.16666666667	106.5	22	403.583333333333	177	698	889.5	167	1314	67	34	213	372.666666666667	17	63	12	190	91	23	236	322	173	18	35	1469	35	9	5	16	419	904	63	501429.5	7	1	310	757	27	1	46	75	99	42	805	59	230	58	18	1	0	1	0	4	6	40	25	21	0	5	1	23	0	23	57	0	9	14	1	2.5	77	45	20	0	20	53	19	15	0	19	0	8	8	34.5	0	617
Patient14	79556	344024	4086	22989	9028.5	44990	4623	11327.1166666667	10833.95	13848	3887	22049.5	8689	10699.8666666667	24714	7944.95	1147	920.5	9537.03333333333	2336	4027	21461	2305	123725	272	3046.5	1421	9311.11666666666	1082.5	1988	1933	7141	3018.5	1197	2062	946	3599	882	1234.5	599.5	1186.5	213	411	41	327.5	872	70	2990	1464	230	2529	3550	442.5	369	214	2135	579	730	838.5	130.5	539	140	627	139	20	360	60	40	667	3005	1203	570	153.5	207	229	429.333333333333	41.5	426.333333333333	732	267	405	448	232	73.7	292	14	114	58	113	324	111	314	431	215	277	133	108	625	172	376
Patient15	189884	67303	1953	60072	13015.5	14204	12029	3249.75	3088.75	12147	10968	5010	99156	2349.33333333333	1551.5	2344.75	4867.16666666667	2657.66666666667	1992.5	5866	2602	10462.5	4473	129013	89	3819	1451.5	1702.33333333333	8264.5	5859	21338	3021	5083	2556	4544	5008	11219	14856	2912.5	1866.5	2895.5	688.166666666667	1541	971.5	231.5	3212	12	517	1561	108.5	1084	4719	2269	3986	15	978	141	689	2165	44.5	1377	257	50	474	15	1313	28	92	293	478	429	1360	380.5	25	365	333	56	323	29	1841	1920	1642	510	17.25	495	0	628	0	204.5	300	197.5	61	775	327	167	15.5	14.5	796.5	8	151
Patient16	603214	107655	651	26611.5	2459.5	40741	7150	15340.6166666667	14982.7833333333	7889	6531.5	11922.5	35341	10400.8833333333	9278	12425.95	367	239	9357.13333333333	2117	2787	31746.3333333333	2666	173323	457	3784.5	521	7740.38333333333	1508.5	2854	17782	9280	18469.5	1046	2833	4832	13299	4996.5	4180.5	1725	4176.5	119	1254	99.5	347	2956	55	11820	1898	1467.84126984127	2569	1454	1182.5	1434	62	1352	823	648	1037.5	47	2849	141	579	134	17	1129	38	8	327	177	278	2190	255	59	361	289.5	78	290.5	263	3112	2131.5	998	293	81.45	713	6	904	2	96	275	99	96	1893.5	384	259	176	156	523.333333333333	193	166
Patient17	1800	50231	6	28452	627	1343	1579	1652.41666666667	1468.41666666667	2313	613	12519	1753	657.25	1773.5	1057.41666666667	7995.5	4236.16666666667	559.75	11928	1252	8047.5	6433	3831	128	1535.5	8094.16666666667	485.75	166	11044	3551	508	531	227	5209	7774	318	1761.5	815	7964.33333333333	811	1974.5	57	108.5	1993.33333333333	6272.33333333333	844	1654806	31	4	506	847	1442.5	101	252	507	876	180	3266	4693.66666666667	295	248	96	1777	1	187	4	865	13	76	44	8217.5	551.5	17	63	1002	290	1002	129	135	792.5	122	19	6.5	261	1403	719	1	28	25	26	37	57.5	163	11	3	2	457	4	1098
Patient18	396663	350111	12359	10495	3388.5	28134.5	14049	4874	4592.5	5304	24708.5	148177	9918.5	10347.9666666667	48275	3647.5	4188	2843	9031.88333333334	2897	3578	81360	5526	3272	710	11018	1289.5	8703.05	850.5	5980.5	36623	2607	10051	1157	2153	11162	3226	16713.5	2955	996.5	2924	1187.5	2320	58.5	498.5	232	87	526	1395	75	4314	291	3931	4521	130	1421	1103	744	642	189	820	41	176	1085.5	40	941	79	172.666666666667	410	258	891	9183	215.5	296	209	417.666666666667	198.5	417.666666666667	3137	2694.5	1502.5	1589	749	19	220	3	363	13	68.5	158	68.5	119	848.5	216	428	13	8	677	85	87
Patient19	30951	39080	167	17980	830	45250.5	924	581.916666666667	532.916666666667	5607	1821	4868	4888.5	245.283333333333	725	308.916666666667	11231.8333333333	7132.16666666667	165.45	5379	1467	4796	3633.5	1718	61	2876	1830	141.45	750	7949.5	1388	299	546	155	4497	8119.5	257	1103	311.5	15537.5	284.5	2851.83333333333	694	276	4099.5	17089	3693	827185.5	24	20.5	495	6711	1932.5	445	2324	262	365	235	2151	4081.83333333333	51	103	26	460.5	0	156	111	719.333333333333	74	77	27	1460	413	18	40	450.5	1560	447.5	170	98	293	160	66	1.25	133	2828	119	0	50	34	41	35	27	86	162	46	34	389	0	185
Patient20	108560	178486	157109	7855.5	6427	10894.5	7352	3370.58333333333	3149.08333333333	4903	6134	25037.5	8080.5	9562.88333333334	161645.5	2403.08333333333	1823	1256.16666666667	8661.96666666667	3817	4650	57279	2771	3923	955	10046.5	665.5	8410.46666666667	3254	16689	25111	344	4595	2692	1987	18459.5	1103	6575.5	1929.5	9161	1857.5	809	935	1274.5	3142	878	80	668	100	594.5	2689	112	6041	941	14	1176	1387	85	310.5	424.166666666667	279	385	290	747	22	711	44	325.166666666667	125	110	486	5069	152.5	24	111	360.5	32	359.5	544	257	1562	674	1022	41.25	136	2	615	0	153.5	14	151.5	37	725	351	64	9	7	6946	32	110
Patient21	129	4275	2	348	50	152	17	39.8333333333333	27.8333333333333	1133	414	2791	143	12.5	59	3.33333333333333	5672	1472.5	5.5	509	479	2095	921	327	2	1388	215.5	5	26	1871	442	78	99	32	1432	4157.5	34	59	26.5	462.5	24.5	285.5	16	41	386	2022.5	460	222214	3	0	227	22	575.5	5	670	36	61	114	16	383	4	30	2	103	0	13	0	76	5	12	14	427	64	2	8	171	742	170	70	6	44	4	0	0	15	27	47	0	18	9	14	3	3	14	5	0.5	0.5	44	0	14
Patient22	122124	35674	1	11887.5	450	122	32210	925.583333333333	808.083333333333	6193	6211	5978	521	850.566666666667	1069	569.583333333333	9735	6736.5	583.4	989	1755	6036.5	4421	1025	243	4932	3369.5	533.066666666667	695	14996	4000	468	2104	300	2191	15975.5	516	5366.5	1392.5	910.5	1371.5	1795	954	23.3333333333333	706.5	2923	944	1095529.5	50	2	521	316	2861.5	240	1025	945	323	332	713.5	2674.5	696	234	23	1547	6	716	21	2269.16666666667	114	39	52	3704	410	33	120	196.5	980	197.5	279	302	229	319	68	4.75	279	469	322	0	88.3333333333333	10	81.3333333333333	94	26	253	107	2	1	407.5	0	213
Patient23	112438	4329	123	1705.5	866.5	4052	959	4694.41666666666	4514.91666666666	1520	4533	1010.5	2338	1934.98333333333	574	3857.91666666667	1756.5	1163.5	1593.65	1140	374	377	468	9112	20	538	264	1434.65	298.5	818.5	582	270	686	83	177	304	70	768	192	74	179	124.5	144	25	38	207	14	14125.5	11	1081	300	152	153	573	128	89	25	40	110.5	80	54	21	53	76.5	0	49	34	55	46	12	22	153	60.5	73	17	104.5	188	101.5	296	117	39	90	104	13.25	20	10	9	0	10.5	12	10.5	13	29	12	54	10	7	51	10	41
Patient24	759	78724	35	2669.5	107	143.5	47	321.916666666667	265.416666666667	2516	207	2589	271.5	123.45	216.5	151.916666666667	3400.66666666667	1019	77.45	523	571	3615	882.5	1214	34	2129	637.5	71.45	59	5897	1334	177	226	24	5561	4966	94	243	155.5	1624.5	155.5	300.666666666667	14	60	684.5	3618	385	300620.5	30	4	92	92	813	8	435	188	241	116	148.5	1181.33333333333	31	65	39	398	0	25	4	127.333333333333	20	46	12	1432	164.5	14	14	407	429	406	105	37	225	15	1	0.75	101	61	149	0	15	17	14	34	9	36	14	0	0	77	0	157
Patient25	1027	6964	8181	125	46	67	100	210.416666666667	182.416666666667	33	119	1175.5	19	2149.31666666667	21993	108.916666666667	24	7	1891.81666666667	201	161	5420	29	78	16	297	12	1963.48333333333	82	43	498	9	71	61	414	2274	67	44	36	81	36	13	16	4	30	5	3	781	77	0	135	5	383	20	1	21	141	0	1	7	27	2	18	109	0	6	0	1	5	55	7	1710	1	0	1	5.5	2	5.5	15	11	11	67	1	1.25	2	0	13	0	3	1	3	1	6	6	0	0.5	0.5	16	0	12
Patient26	2971	82365	6	14438.5	715	514	2353	1531.75	1421.75	5916	1058.5	21154	1920	694.666666666667	1592	949.75	13241.8333333333	6177.5	543.666666666667	12065	1930	29335.5	8802.5	1877	304	6141	6624.83333333333	466.416666666667	606	14701.5	3661	822	1027	316	8207	23538	955	946	743.5	2834	724.5	2669.83333333333	60	24	1155	4697	2310	3507813	31	1	1013	2554	3543	135	1072	756	831	547	1573	6952.16666666667	154	282	103	2641.5	4	169	3	3921	55	148	87	11047	422	12	71	596.5	515.5	597.5	728	132	411	83	17	14.75	346	2677	958	3	70	25	68	70	15	196	40	7.5	5.5	1123.5	3	1010
Patient27	727295	59279	255	6537	672	1477	3153	2749.66666666667	2619.16666666667	3541	11065.5	1528.5	732	5229.63333333333	1197	1931.66666666667	130	190.5	4597.63333333334	378	976	669	478	58681	469	1694.5	1171.5	4367.96666666667	76	293	315	1581	3949.5	253	634	542	483	2530.5	1341	153	1332	28	54	341	80	710	50	3778	214	66	360	140	363.5	66	84	1391	176	244	152	31	606	35	125	21	15	253	12	9	378	281	554	676	56	305	105	54.5	47	53.5	96	272	298.5	198	44	30.25	319	1	97	0	39.5	171	38.5	173	186.5	151	356	88.5	75.5	57	89	48
Patient28	665	28597	14	2104	214	409.5	22	383.083333333333	323.583333333333	9792	494	7518	820.5	172.166666666667	181	178.083333333333	15491.5	5940.16666666667	89.6666666666667	1295	2242	6459	2181	1751	22	5216.5	1325	75.8333333333333	296	9795	1068	225	472	149	2211	20677	311	337	294.5	1466.5	282.5	1265	37	60	1839.5	7779	558	1613006.5	9	3	557	584	2101.5	10	799	446	392	198	138	3047.66666666667	69	137	25	521	1	86	2	320.5	16	33	32	653	184.5	9	60	228	520	227	73	11	218	7	6	7.25	101	177	163	3	39	17	32	17	4	114	9	0	0	235	1	77
Patient29	330222	31481	162	10271	5790	6271	1961	5391.5	5190	6783	3760.5	1035.5	2023	2264	407	3501.5	2889.5	2654.83333333333	1817.5	2511	2557	908	1573	21373.3333333333	97	958.5	521	1415.66666666667	1116	1581	1315	1083	1538.5	251	1042	593	1267	902	793	173.5	781	757.5	455	57.3333333333333	73.5	348	265	906	139	67	1620	975	350.5	537	362	424	39	196	395	204.333333333333	408	43	27	180	11	178	92	242.833333333333	189	198	196	198	152.5	124	193	191.5	179	191.5	45	104	91	205	164	7	224	187	24	0	35.8333333333333	150	29.8333333333333	139	47	88	208	57	53	186	18	344
Patient30	5820	26265	7	793	135	472	157	268.666666666667	239.666666666667	2577	575	3527	170	53.8333333333333	61	86.6666666666667	4100	2030.5	32.8333333333333	331	1058	1782	1344	629	9	8135.5	475.5	28.5	141	3050	350	182	219	69	1684	17942.5	163	131	98.5	1201.5	92.5	612	56	58	810	3948.5	823	662184.5	14	0	295	193	1851	67	1580	106	129	86	53	1168.5	40	35	5	199	3	41	13	501	24	27	14	300	96	1	41	103.5	458	102.5	135	15	42	14	5	2	51	59	38	0	30.5	7	23.5	16	3	35	16	1.5	1.5	114	0	75
Patient31	7496	14171	65	6806	249	14409	426	158.333333333333	139.333333333333	3154	792	1678	1270	90	195.5	78.8333333333333	4052.33333333333	2838.66666666667	49.5	1400	779	1845.83333333333	1154.5	488	7	1615	394.5	48.5	266	3124.5	379	121	203	52	845	5324	94	460.5	143	2385.5	138	1034.33333333333	306	70.5	939.5	4875	820	378549	7	5	175	1810	832	161	564	117	115	106	742	1623.33333333333	20	58	7	138.5	2	54	29	226.333333333333	27	7	21	230	184	7	30	102.5	376	101.5	82	17	48	60	24	1.5	47	1058	17	0	26.5	1	20.5	12	6	22	45	6	6	429.833333333333	0	17
Patient32	368147	2506475	615362	47627	23992	443033.5	17504	47593.2	47026.2	24065	61063	427534.5	95539.5	38879.3666666667	299296	41834.7	14157.8333333333	6513.16666666667	34722.7833333333	31125	45768	664506.333333333	13209.5	114654.5	2147	64913.5	5128.5	32300.95	13618	18279.5	210284	10778	24374.5	30586	18806	255822.5	5944	31384.5	11027.5	147362.5	10902.5	3176.5	6261	7694.5	30648.5	6063	436	1347	10237	15401.8618326118	12254	189	23787	8804	54	4848	19270	949	1462.5	1018.33333333333	2232	1340	2408	2015.5	170	2133	30	353.166666666667	830	1132	5041	17772	592.5	126	1087	1885.5	186.5	1883.5	4059	3755	14572	1939	3400	1135.2	401	82	2316	5	1684.5	445	1663.5	249	10706	1635	820	143	125	12306.8333333333	1007	234
Patient33	889	222714	2	15731.5	410	113.5	193	1850.25	1721.58333333333	5374	1442	15868	201.5	406.5	579	1180.41666666667	28468	9839.08333333334	287.833333333333	3294	3356	17943	4976	5272	125	9914.5	4767.5	274.5	422	17993.5	2419	836	675	236	4797	36652.5	529	739.5	625.5	1428.5	589.5	2583.25	172	17	816.5	2477	1023	1096196	31	7	504	780	5880	90	1117	489	543	726	1587	6151.08333333333	104	112	105	1960.5	5	115	2	2570.83333333333	45	189	111	4796	395.5	17	108	636.5	728	635.5	611	52	231	25	13	33.0833333333333	119	1160	225	2	75.5	13	71.5	67	16	156	38	3	1	760	9	523
Patient34	38575	4863	254	1322	215.5	2190	46	1160.08333333333	1127.08333333333	508	1112	90	211	599.416666666667	166	951.583333333334	69	36	468.25	72	133	489	377	1443	10	26	59	193.583333333333	111.5	33	11	6	182	0	49	43	18	4	46	43	46	5	236	0.5	12	20	3	1274	1	25	686	8	19	0	7	5	27	2	163.5	25	38	39	4	0	2	2	34	0	1	14	0	3	0	22	14	0.5	4	0.5	15	0	39	6	2	4.25	0	0	0	0	1	0	1	6	98	14	0	3	3	14	15	6
Patient35	1165233	187943	493	17614	8001	31691.5	66928	25193.4166666667	24610.9166666667	7391	5892.5	7961.5	16657.5	36218.3333333333	7529	19089.9166666667	3243.5	4253.16666666667	31573.9166666667	40069	13522	6366	28264.5	86809	1331	2164.5	12476.5	28277.25	2360	878	1685	2842	11444.5	371	5686	1600	2717	8781.5	14731.5	623	14691.5	1048	6109	55.8333333333333	238	1060	216	131712.5	2261	278	2456	2266	525.5	572	291	6522	481	3379	526	818.166666666667	9849	78	26	144	54	657	6	285.666666666667	468	436	588	4957	189	116	130	232.5	32	237.5	238	681	1368	384	109	67.75	1660	86	1641	6	152.833333333333	319	153.833333333333	580	423	3643	90	119	111	646	120	2676
Patient36	40250	3386	33	505	93	71	103	4942.08333333333	4837.58333333333	506	97	224	23	2669.58333333333	36	3901.08333333334	95	92	2242.25	240	487	67	33	4412	4	68.5	182	1881.58333333333	18	1403	27	262	121	29	31	244.5	73	25	38.5	54	38.5	20	22	1	21	93	7	6166.5	4	166.5	24	120	40	14	18	25	18	3	35	34	21	6	118	38	1	2	4	30	2	30	15	104	3	35	2	8.5	10	8.5	0	1	29	3	0	17.25	12	44	0	0	5	64	4	20	17	6	4	3	2	10	15	95
Patient37	2069	27559	47	1040	162	95.5	74	624.166666666667	554.666666666667	2033	216	1511.5	56.5	188.833333333333	271	369.166666666667	907	328.833333333333	146.333333333333	192	563	1214.5	321.5	1325	23	1057.5	216	124.916666666667	43	699	64	144	177	15	567	1238	184	36	34.5	422.5	36.5	112.5	14	7	338.5	1215	573	122623	8	2	280	346	276.5	5	463	99	83	26	86	371.833333333333	13	15	24	50	0	6	0	20	20	7	27	54	21	8	16	32	103	30	103	1	23	2	1	1	47	40	12	3	34.5	9	34.5	53	7	23	5	2	1	21.5	1	114
Patient38	25996	441	28	37	11	29	67	629.833333333333	560.333333333333	84	564	45	30	179.116666666667	9	398.333333333333	27.5	23	142.616666666667	24	57	32	12	30173	1	38	53	118.866666666667	2	12	5	119	12	2	10	54	0	21	4.5	4	3.5	1	2	8	1	27	3	2105.5	1	187	3	42	2	2	10	25	4	1	0	7	8	5	124	2	0	1	0	0	0	17	3	5	0	36	3	2.5	2	2.5	25	0	1	1	0	5.5	5	2	0	2	0	9	0	6	0	12	18	1.5	1.5	0	20	1
Patient39	7999	209174	4	42018	3132.5	1517	5706	4899.58333333333	4611.75	7114	645	37320	2214	2022.58333333333	2976	2708.75	14055.3333333333	7127.16666666667	1738.25	37655	6176	27600.3333333333	12347	13114	524	10712	17383	1624.5	3311.5	17011.5	3945	2612	1464	696	18606	43894.5	1426	1077.5	665.5	7846.33333333333	654.5	3599	79	69	2397.33333333333	4309.33333333333	2030	5151080	41	6	1023	7167	4868.5	461	973	931	1165	1036	5051	20831.6666666667	267	235	796	2621.5	10	173	4	3036	130	244	176	9539	316.5	25	111	975.666666666667	510	977.666666666667	2109	115	322	75	31	25.25	289	4552	883	7	160	18	156	169	23	474	40	27.5	20.5	1607.33333333333	23	2910
Patient40	23887	297998	35	39627.5	10605	16406	3790	28795.5166666667	27877.0166666667	7204	477	10696	16598	12602.4833333333	1956.5	22162.5166666667	776	1537.66666666667	11417.3166666667	7578	7164	4714	2909.5	28805	1205	2657	5779.5	10416.65	2250	3176	586	5118	1124	662	8765	12580.5	1777	480	653.5	24912.3333333333	621.5	356.5	111	199.833333333333	3898.33333333333	9668.33333333333	2249	55953.5	154	29	2771	12356	595.5	78	562	1215	2894	82	2130	3039.16666666667	791	150	3179	89	21	93	5	40.3333333333333	172	591	480	1191	129.5	51	61	288.5	28	290.5	105	68	819	153	85	179.85	258	229	526	31	321.833333333333	281	296.833333333333	344	132	241	23	14.5	11.5	65	44	1952
